      L       W    Grid       Energy    EnergyErr        Force     ForceErr Status
 30.000   0.000   0.400   -5.193e-06    3.766e-14   -5.862e-07    0.000e+00    0
 30.000   0.000   0.500   -5.124e-06    2.282e-14   -5.788e-07    0.000e+00    0
 30.000 100.000   0.400   -2.385e-07    4.380e-14   -9.687e-09    0.000e+00    0
 30.000 100.000   0.500   -2.450e-07    2.402e-14   -9.554e-09    0.000e+00    0
 30.000  20.000   0.400   -5.068e-06    3.443e-14   -5.772e-07    0.000e+00    0
 30.000  20.000   0.500   -5.002e-06    2.620e-14   -5.700e-07    0.000e+00    0
 30.000  40.000   0.400   -4.303e-06    2.975e-14   -5.008e-07    0.000e+00    0
 30.000  40.000   0.500   -4.262e-06    2.933e-14   -4.946e-07    0.000e+00    0
 30.000  50.000   0.400   -3.407e-06    4.514e-14   -3.803e-07    0.000e+00    0
 30.000  50.000   0.500   -3.365e-06    2.473e-14   -3.756e-07    0.000e+00    0
 30.000  60.000   0.400   -2.288e-06    4.514e-14   -2.238e-07    0.000e+00    0
 30.000  60.000   0.500   -2.264e-06    2.473e-14   -2.210e-07    0.000e+00    0
 30.000  80.000   0.400   -7.583e-07    4.380e-14   -4.689e-08    0.000e+00    0
 30.000  80.000   0.500   -7.497e-07    2.402e-14   -4.627e-08    0.000e+00    0
  5.000   0.000   0.400   -9.182e-04    4.258e-14   -4.382e-04    4.625e-16    0
  5.000   0.000   0.500   -9.079e-04    2.923e-14   -4.335e-04    4.482e-16    0
  5.000 100.000   0.400   -5.680e-07    4.379e-14   -1.556e-08    0.000e+00    0
  5.000 100.000   0.500   -5.769e-07    2.518e-14   -1.534e-08    0.000e+00    0
  5.000  20.000   0.400   -9.170e-04    2.965e-14   -4.381e-04    4.626e-16    0
  5.000  20.000   0.500   -9.068e-04    2.774e-14   -4.333e-04    4.480e-16    0
  5.000  40.000   0.400   -9.002e-04    2.883e-14   -4.356e-04    4.626e-16    0
  5.000  40.000   0.500   -8.902e-04    2.681e-14   -4.309e-04    4.480e-16    0
  5.000  50.000   0.400   -6.108e-04    1.525e-13   -2.922e-04    2.382e-16    0
  5.000  50.000   0.500   -6.039e-04    1.541e-13   -2.889e-04    2.296e-16    0
  5.000  60.000   0.400   -7.191e-05    2.694e-14   -1.282e-05    0.000e+00    0
  5.000  60.000   0.500   -7.099e-05    2.643e-14   -1.264e-05    0.000e+00    0
  5.000  80.000   0.400   -3.345e-06    4.379e-14   -1.622e-07    0.000e+00    0
  5.000  80.000   0.500   -3.306e-06    2.518e-14   -1.599e-07    0.000e+00    0
