      L    Grid  Aspect    Temp       Energy    EnergyErr        Force     ForceErr Status
 20.000   0.400   5.000 300.000   -1.886e-05    4.597e-15   -3.656e-06    0.000e+00    0
 22.500   0.200   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.300  10.000 300.000   -1.667e-05    1.717e-14   -2.648e-06    0.000e+00    0
 22.500   0.300  15.000 300.000   -1.859e-05    2.677e-15   -2.808e-06    0.000e+00    0
 22.500   0.300   2.000 300.000   -5.904e-06    7.448e-15   -1.196e-06    0.000e+00    0
 22.500   0.300  20.000 300.000   -1.955e-05    6.008e-15   -2.884e-06    0.000e+00    0
 22.500   0.300   3.000 300.000   -8.314e-06    9.805e-15   -1.612e-06    0.000e+00    0
 22.500   0.300   5.000 300.000   -1.200e-05    1.898e-14   -2.148e-06    0.000e+00    0
 22.500   0.400  10.000 300.000   -1.637e-05    4.815e-15   -2.605e-06    0.000e+00    0
 22.500   0.400  15.000 300.000   -1.825e-05    1.018e-16   -2.763e-06    0.000e+00    0
 22.500   0.400   2.000 300.000   -5.844e-06    4.044e-15   -1.178e-06    0.000e+00    0
 22.500   0.400  20.000 300.000   -1.920e-05    5.935e-15   -2.834e-06    0.000e+00    0
 22.500   0.400   3.000 300.000   -8.207e-06    1.382e-15   -1.589e-06    0.000e+00    0
 22.500   0.400   5.000 300.000   -1.184e-05    4.597e-15   -2.116e-06    0.000e+00    0
 25.000   0.200   2.500 300.000   -4.601e-06    1.081e-13   -8.221e-07    0.000e+00    0
 25.000   0.300  10.000 300.000   -1.135e-05    1.717e-14   -1.668e-06    0.000e+00    0
 25.000   0.300  15.000 300.000   -1.294e-05    2.677e-15   -1.793e-06    0.000e+00    0
 25.000   0.300   2.000 300.000   -3.644e-06    7.448e-15   -6.795e-07    0.000e+00    0
 25.000   0.300  20.000 300.000   -1.374e-05    6.008e-15   -1.853e-06    0.000e+00    0
 25.000   0.300   3.000 300.000   -5.197e-06    9.805e-15   -9.374e-07    0.000e+00    0
 25.000   0.300   5.000 300.000   -7.797e-06    1.898e-14   -1.298e-06    0.000e+00    0
 25.000   0.400  10.000 300.000   -1.118e-05    4.815e-15   -1.641e-06    0.000e+00    0
 25.000   0.400  15.000 300.000   -1.271e-05    1.018e-16   -1.764e-06    0.000e+00    0
 25.000   0.400   2.000 300.000   -3.607e-06    4.044e-15   -6.693e-07    0.000e+00    0
 25.000   0.400  20.000 300.000   -1.350e-05    5.935e-15   -1.820e-06    0.000e+00    0
 25.000   0.400   3.000 300.000   -5.153e-06    1.382e-15   -9.239e-07    0.000e+00    0
 25.000   0.400   5.000 300.000   -7.705e-06    4.597e-15   -1.278e-06    0.000e+00    0
 27.500   0.200   2.500 300.000   -2.889e-06    1.037e-13   -4.922e-07    0.000e+00    0
 27.500   0.300  10.000 300.000   -8.005e-06    1.711e-14   -1.090e-06    0.000e+00    0
 27.500   0.300  15.000 300.000   -9.288e-06    2.706e-15   -1.189e-06    0.000e+00    0
 27.500   0.300   2.000 300.000   -2.302e-06    7.201e-15   -4.029e-07    0.000e+00    0
 27.500   0.300  20.000 300.000   -9.953e-06    5.862e-15   -1.236e-06    0.000e+00    0
 27.500   0.300   3.000 300.000   -3.362e-06    9.747e-15   -5.667e-07    0.000e+00    0
 27.500   0.300   5.000 300.000   -5.220e-06    1.885e-14   -8.124e-07    0.000e+00    0
 27.500   0.400  10.000 300.000   -7.834e-06    4.670e-15   -1.072e-06    0.000e+00    0
 27.500   0.400  15.000 300.000   -9.086e-06    4.364e-17   -1.169e-06    0.000e+00    0
 27.500   0.400   2.000 300.000   -2.303e-06    4.306e-15   -3.967e-07    0.000e+00    0
 27.500   0.400  20.000 300.000   -9.759e-06    5.790e-15   -1.214e-06    0.000e+00    0
 27.500   0.400   3.000 300.000   -3.337e-06    1.018e-15   -5.584e-07    0.000e+00    0
 27.500   0.400   5.000 300.000   -5.149e-06    4.248e-15   -7.999e-07    0.000e+00    0
 30.000   0.200   2.500 300.000   -1.837e-06    1.022e-13   -3.052e-07    0.000e+00    0
 30.000   0.300  10.000 300.000   -5.712e-06    1.417e-14   -7.342e-07    0.000e+00    0
 30.000   0.300  15.000 300.000   -6.830e-06    3.942e-15   -8.129e-07    0.000e+00    0
 30.000   0.300   2.000 300.000   -1.521e-06    3.797e-15   -2.478e-07    0.000e+00    0
 30.000   0.300  20.000 300.000   -7.378e-06    6.779e-15   -8.514e-07    0.000e+00    0
 30.000   0.300   3.000 300.000   -2.234e-06    6.313e-15   -3.543e-07    0.000e+00    0
 30.000   0.300   5.000 300.000   -3.597e-06    1.637e-14   -5.243e-07    0.000e+00    0
 30.000   0.400  10.000 300.000   -5.640e-06    5.252e-15   -7.218e-07    0.000e+00    0
 30.000   0.400  15.000 300.000   -6.676e-06    5.382e-16   -7.993e-07    0.000e+00    0
 30.000   0.400   2.000 300.000   -1.529e-06    3.215e-15   -2.439e-07    0.000e+00    0
 30.000   0.400  20.000 300.000   -7.237e-06    6.372e-15   -8.357e-07    0.000e+00    0
 30.000   0.400   3.000 300.000   -2.240e-06    1.906e-15   -3.491e-07    0.000e+00    0
 30.000   0.400   5.000 300.000   -3.548e-06    5.266e-15   -5.161e-07    0.000e+00    0
