1.e-7	6.823061017764994e-12	2.4096462977913868e-12	1.6565008859330218e-12	1.6565527534935275e-12
1.0232929922807536e-7	6.368633301891562e-12	2.310509947970506e-12	1.5834950917638235e-12	1.5835482004926174e-12
1.0471285480508985e-7	5.944492472558063e-12	2.213976215210232e-12	1.5126181752928559e-12	1.5126725153220443e-12
1.0715193052376071e-7	5.548619000082635e-12	2.12009748243384e-12	1.4438940655796093e-12	1.4439496257408514e-12
1.0964781961431852e-7	5.179128060151279e-12	2.0289114376556753e-12	1.3773366664571858e-12	1.3773934342544571e-12
1.122018454301963e-7	4.834260546844238e-12	1.9404425823635316e-12	1.3129509270387285e-12	1.3130088886243556e-12
1.1481536214968817e-7	4.512374685323145e-12	1.8547036149492513e-12	1.2507338222126698e-12	1.250792962367165e-12
1.1748975549395303e-7	4.211938204161802e-12	1.7716966986321144e-12	1.1906752499813133e-12	1.1907355520975831e-12
1.2022644346174132e-7	3.931521029974922e-12	1.6914146226394228e-12	1.1327588520015283e-12	1.1328202980740848e-12
1.2302687708123812e-7	3.669788469490756e-12	1.6138418647757726e-12	1.0769627632251568e-12	1.077025333845026e-12
1.2589254117941662e-7	3.4254948465403807e-12	1.5389555629244008e-12	1.0232602961082727e-12	1.0233239704643548e-12
1.2882495516931348e-7	3.1974775636063816e-12	1.4667264024767796e-12	9.716205644598352e-13	9.716853203475457e-13
1.3182567385564074e-7	2.984651559600111e-12	1.3971194261782415e-12	9.220090516300704e-13	9.220748654681645e-13
1.3489628825916533e-7	2.7860041374268826e-12	1.330094772404569e-12	8.743881273946207e-13	8.744549742511897e-13
1.380384264602884e-7	2.6005901366636215e-12	1.2656083474453068e-12	8.287175175708321e-13	8.287853711995462e-13
1.4125375446227555e-7	2.427527428319571e-12	1.2036124369610264e-12	7.849547301052348e-13	7.850235629930067e-13
1.445439770745928e-7	2.2659927101879685e-12	1.1440562614024702e-12	7.430554410953014e-13	7.431252245226455e-13
1.479108388168207e-7	2.1152175827304642e-12	1.0868864798268121e-12	7.029738439520208e-13	7.030445480674994e-13
1.5135612484362072e-7	1.9744848867751425e-12	1.0320476462189185e-12	6.646629646717649e-13	6.647345585820313e-13
1.5488166189124826e-7	1.843125285557667e-12	9.79482622121046e-13	6.280749459645899e-13	6.281473978416693e-13
1.584893192461114e-7	1.72051407480135e-12	9.291329490919813e-13	5.931613027808232e-13	5.932345799884153e-13
1.6218100973589298e-7	1.6060682056196377e-12	8.809379535129463e-13	5.599284476155853e-13	5.600025241717921e-13
1.6595869074375596e-7	1.499243506040322e-12	8.348388950517366e-13	5.282650619981768e-13	5.283399041680888e-13
1.6982436524617461e-7	1.3995320878980885e-12	7.907752936387641e-13	4.981194602585406e-13	4.98195033518579e-13
1.7378008287493765e-7	1.3064599267267044e-12	7.486864904887126e-13	4.694404905660497e-13	4.695167597583093e-13
1.7782794100389227e-7	1.21958460310728e-12	7.085118647765735e-13	4.4217764291646573e-13	4.422545724268159e-13
1.8197008586099824e-7	1.138493194699688e-12	6.701910263043317e-13	4.16281143174275e-13	4.163586971365514e-13
1.8620871366628656e-7	1.0628003089028153e-12	6.336639861982538e-13	3.9170203441074436e-13	3.917801769395529e-13
1.9054607179632483e-7	9.92146246760416e-13	5.988713075207707e-13	3.6839224668121784e-13	3.684709421360848e-13
1.9498445997580455e-7	9.261952893554795e-13	5.65754237536243e-13	3.4630465629540957e-13	3.463838695792336e-13
1.9952623149688787e-7	8.646340985202812e-13	5.342548232356417e-13	3.2539313555124723e-13	3.254728324462515e-13
2.0417379446695275e-7	8.071702242348506e-13	5.044428209477624e-13	3.057449320543902e-13	3.058251143050092e-13
2.0892961308540409e-7	7.535307115953578e-13	4.761194415214932e-13	2.8716708034424774e-13	2.8724771691277547e-13
2.1379620895022324e-7	7.034608007090763e-13	4.4922371551416805e-13	2.6961043384413715e-13	2.6969149349961806e-13
2.187761623949552e-7	6.567227133157599e-13	4.2369666818458555e-13	2.5302787275698013e-13	2.531093242718157e-13
2.2387211385683377e-7	6.130945203491539e-13	3.994812879446518e-13	2.373742311405524e-13	2.374560435133183e-13
2.2908676527677748e-7	5.723690850383131e-13	3.7652249216486236e-13	2.2260622591427824e-13	2.2268836862120706e-13
2.3442288153199228e-7	5.343530765088675e-13	3.5476709072839424e-13	2.0868238780387686e-13	2.0876483108165882e-13
2.39883291901949e-7	4.988660491805677e-13	3.341637476922635e-13	1.9556299422355756e-13	1.9564570938632628e-13
2.4547089156850283e-7	4.657395835714339e-13	3.1466294138069015e-13	1.832100040896544e-13	1.832929638832524e-13
2.5118864315095823e-7	4.3481648441161173e-13	2.9621692320500117e-13	1.715869945543434e-13	1.7167017355120938e-13
2.570395782768865e-7	4.05950032243501e-13	2.7888516637353476e-13	1.6075164048808705e-13	1.608350635510157e-13
2.6302679918953816e-7	3.790032849397647e-13	2.625046280649551e-13	1.5056643344164416e-13	1.5065008049056796e-13
2.691534803926914e-7	3.538484258090236e-13	2.4702765908020757e-13	1.4099509008815756e-13	1.4107894109573681e-13
2.754228703338169e-7	3.3036615518115117e-13	2.324089348912443e-13	1.3200334630056712e-13	1.3208738143810705e-13
2.818382931264455e-7	3.084451225715427e-13	2.1860534240923585e-13	1.2355884247981176e-13	1.2364304228159978e-13
2.8840315031266057e-7	2.879813967172041e-13	2.0557587234945847e-13	1.156310155894825e-13	1.1571536113722874e-13
2.951209226666384e-7	2.6887797095821736e-13	1.9328151690936393e-13	1.0819099749298492e-13	1.0827547062218381e-13
