      L    Grid  Aspect    Temp       Energy    EnergyErr        Force     ForceErr Status
 20.000   0.400   5.000 300.000   -1.193e-05    1.426e-15   -2.281e-06    0.000e+00    0
 22.500   0.200   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.300  10.000 300.000   -1.108e-05    3.637e-15   -1.727e-06    0.000e+00    0
 22.500   0.300  15.000 300.000   -1.258e-05    2.845e-14   -1.852e-06    0.000e+00    0
 22.500   0.300   2.000 300.000   -3.600e-06    1.018e-15   -7.244e-07    0.000e+00    0
 22.500   0.300  20.000 300.000   -1.337e-05    2.095e-15   -1.910e-06    0.000e+00    0
 22.500   0.300   3.000 300.000   -5.120e-06    3.069e-15   -9.847e-07    0.000e+00    0
 22.500   0.300   5.000 300.000   -7.664e-06    2.082e-14   -1.351e-06    0.000e+00    0
 22.500   0.400  10.000 300.000   -1.092e-05    1.133e-14   -1.699e-06    0.000e+00    0
 22.500   0.400  15.000 300.000   -1.237e-05    8.292e-15   -1.822e-06    0.000e+00    0
 22.500   0.400   2.000 300.000   -3.576e-06    3.186e-15   -7.135e-07    0.000e+00    0
 22.500   0.400  20.000 300.000   -1.310e-05    3.579e-15   -1.878e-06    0.000e+00    0
 22.500   0.400   3.000 300.000   -5.058e-06    1.469e-14   -9.705e-07    0.000e+00    0
 22.500   0.400   5.000 300.000   -7.536e-06    1.426e-15   -1.330e-06    0.000e+00    0
 25.000   0.200   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300  10.000 300.000   -7.630e-06    3.637e-15   -1.099e-06    0.000e+00    0
 25.000   0.300  15.000 300.000   -8.831e-06    2.845e-14   -1.196e-06    0.000e+00    0
 25.000   0.300   2.000 300.000   -2.235e-06    1.018e-15   -4.137e-07    0.000e+00    0
 25.000   0.300  20.000 300.000   -9.481e-06    2.095e-15   -1.242e-06    0.000e+00    0
 25.000   0.300   3.000 300.000   -3.233e-06    3.069e-15   -5.754e-07    0.000e+00    0
 25.000   0.300   5.000 300.000   -5.016e-06    2.082e-14   -8.211e-07    0.000e+00    0
 25.000   0.400  10.000 300.000   -7.508e-06    1.133e-14   -1.081e-06    0.000e+00    0
 25.000   0.400  15.000 300.000   -8.685e-06    8.292e-15   -1.177e-06    0.000e+00    0
 25.000   0.400   2.000 300.000   -2.202e-06    3.186e-15   -4.073e-07    0.000e+00    0
 25.000   0.400  20.000 300.000   -9.294e-06    3.579e-15   -1.221e-06    0.000e+00    0
 25.000   0.400   3.000 300.000   -3.187e-06    1.469e-14   -5.670e-07    0.000e+00    0
 25.000   0.400   5.000 300.000   -4.920e-06    1.426e-15   -8.084e-07    0.000e+00    0
 27.500   0.200   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300  10.000 300.000   -5.383e-06    3.870e-15   -7.243e-07    0.000e+00    0
 27.500   0.300  15.000 300.000   -6.400e-06    2.882e-14   -8.009e-07    0.000e+00    0
 27.500   0.300   2.000 300.000   -1.446e-06    4.655e-16   -2.463e-07    0.000e+00    0
 27.500   0.300  20.000 300.000   -6.945e-06    1.033e-15   -8.377e-07    0.000e+00    0
 27.500   0.300   3.000 300.000   -2.105e-06    2.517e-15   -3.493e-07    0.000e+00    0
 27.500   0.300   5.000 300.000   -3.388e-06    2.150e-14   -5.167e-07    0.000e+00    0
 27.500   0.400  10.000 300.000   -5.308e-06    1.143e-14   -7.123e-07    0.000e+00    0
 27.500   0.400  15.000 300.000   -6.274e-06    8.379e-15   -7.876e-07    0.000e+00    0
 27.500   0.400   2.000 300.000   -1.428e-06    2.982e-15   -2.424e-07    0.000e+00    0
 27.500   0.400  20.000 300.000   -6.797e-06    3.666e-15   -8.228e-07    0.000e+00    0
