      L       W    Grid       Energy    EnergyErr        Force     ForceErr Status
 30.000   0.000   0.400   -7.730e-06    3.686e-14   -8.888e-07    0.000e+00    0
 30.000   0.000   0.500   -7.633e-06    1.714e-14   -8.776e-07    0.000e+00    0
 30.000 100.000   0.400   -3.599e-07    1.360e-14   -1.359e-08    0.000e+00    0
 30.000 100.000   0.500   -3.476e-07    1.058e-14   -1.340e-08    0.000e+00    0
 30.000  20.000   0.400   -7.484e-06    1.911e-14   -8.720e-07    0.000e+00    0
 30.000  20.000   0.500   -7.405e-06    1.958e-14   -8.611e-07    0.000e+00    0
 30.000  40.000   0.400   -6.283e-06    1.466e-14   -7.410e-07    0.000e+00    0
 30.000  40.000   0.500   -6.201e-06    1.136e-14   -7.318e-07    0.000e+00    0
 30.000  50.000   0.400   -4.907e-06    1.324e-14   -5.516e-07    0.000e+00    0
 30.000  50.000   0.500   -4.833e-06    1.021e-14   -5.447e-07    0.000e+00    0
 30.000  60.000   0.400   -3.255e-06    1.324e-14   -3.188e-07    0.000e+00    0
 30.000  60.000   0.500   -3.202e-06    1.021e-14   -3.148e-07    0.000e+00    0
 30.000  80.000   0.400   -1.064e-06    1.360e-14   -6.584e-08    0.000e+00    0
 30.000  80.000   0.500   -1.044e-06    1.058e-14   -6.496e-08    0.000e+00    0
  5.000   0.000   0.400   -1.609e-03    2.723e-14   -8.008e-04    9.798e-16    0
  5.000   0.000   0.500   -1.591e-03    1.754e-14   -7.920e-04    9.494e-16    0
  5.000 100.000   0.400   -8.290e-07    9.179e-15   -2.249e-08    0.000e+00    0
  5.000 100.000   0.500   -8.108e-07    1.155e-14   -2.218e-08    0.000e+00    0
  5.000  20.000   0.400   -1.606e-03    2.342e-14   -8.005e-04    9.799e-16    0
  5.000  20.000   0.500   -1.588e-03    1.728e-14   -7.917e-04    9.491e-16    0
  5.000  40.000   0.400   -1.568e-03    1.856e-14   -7.941e-04    9.800e-16    0
  5.000  40.000   0.500   -1.551e-03    1.298e-14   -7.854e-04    9.491e-16    0
  5.000  50.000   0.400   -9.797e-04    2.204e-14   -4.836e-04    5.057e-16    0
  5.000  50.000   0.500   -9.685e-04    1.090e-14   -4.781e-04    4.873e-16    0
  5.000  60.000   0.400   -1.059e-04    1.526e-14   -1.933e-05    0.000e+00    0
  5.000  60.000   0.500   -1.046e-04    5.281e-15   -1.907e-05    0.000e+00    0
  5.000  80.000   0.400   -4.778e-06    1.094e-14   -2.375e-07    0.000e+00    0
  5.000  80.000   0.500   -4.705e-06    1.017e-14   -2.341e-07    0.000e+00    0
