      L       W    Grid       Energy    EnergyErr        Force     ForceErr Status
 30.000   0.000   0.400   -8.855e-07    3.991e-09   -1.287e-07    4.368e-10    0
 30.000   0.000   0.500   -8.739e-07    3.937e-09   -1.270e-07    4.308e-10    0
 30.000 100.000   0.400   -1.599e-08    1.043e-10   -7.733e-10    2.720e-12    0
 30.000 100.000   0.500   -1.576e-08    9.451e-11   -7.628e-10    2.682e-12    0
 30.000  20.000   0.400   -8.444e-07    3.382e-09   -1.245e-07    3.724e-10    0
 30.000  20.000   0.500   -8.336e-07    3.317e-09   -1.229e-07    3.672e-10    0
 30.000  40.000   0.400   -6.452e-07    2.701e-09   -9.695e-08    2.324e-10    0
 30.000  40.000   0.500   -6.369e-07    2.669e-09   -9.572e-08    2.291e-10    0
 30.000  50.000   0.400   -4.545e-07    2.257e-09   -6.495e-08    1.612e-10    0
 30.000  50.000   0.500   -4.486e-07    2.230e-09   -6.413e-08    1.594e-10    0
 30.000  60.000   0.400   -2.620e-07    1.617e-09   -3.240e-08    1.140e-10    0
 30.000  60.000   0.500   -2.586e-07    1.603e-09   -3.199e-08    1.126e-10    0
 30.000  80.000   0.400   -6.307e-08    4.306e-10   -4.847e-09    2.028e-11    0
 30.000  80.000   0.500   -6.222e-08    4.335e-10   -4.783e-09    2.001e-11    0
  5.000   0.000   0.400   -8.733e-04    3.109e-06   -5.666e-04    1.687e-06    0
  5.000   0.000   0.500   -8.637e-04    3.067e-06   -5.605e-04    1.670e-06    0
  5.000 100.000   0.400   -4.775e-08    2.514e-10   -1.729e-09    5.753e-12    0
  5.000 100.000   0.500   -4.706e-08    2.494e-10   -1.705e-09    5.677e-12    0
  5.000  20.000   0.400   -8.726e-04    3.112e-06   -5.665e-04    1.689e-06    0
  5.000  20.000   0.500   -8.630e-04    3.070e-06   -5.604e-04    1.672e-06    0
  5.000  40.000   0.400   -8.520e-04    2.389e-06   -5.618e-04    1.718e-06    0
  5.000  40.000   0.500   -8.426e-04    2.354e-06   -5.557e-04    1.701e-06    0
  5.000  50.000   0.400   -4.753e-04    1.326e-06   -3.127e-04    6.896e-07    0
  5.000  50.000   0.500   -4.699e-04    1.308e-06   -3.092e-04    6.822e-07    0
  5.000  60.000   0.400   -2.429e-05    1.480e-07   -5.911e-06    1.407e-08    0
  5.000  60.000   0.500   -2.397e-05    1.460e-07   -5.832e-06    1.386e-08    0
  5.000  80.000   0.400   -4.279e-07    2.578e-09   -2.813e-08    8.120e-11    0
  5.000  80.000   0.500   -4.221e-07    2.550e-09   -2.774e-08    8.002e-11    0
