0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
1,1,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
-1,-1,4
0,0,4
0,0,4
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
1,1,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
-1,-1,5
-1,-1,5
0,0,5
0,0,5
0,0,5
0,0,6
0,0,6
1,1,6
2,2,6
1,1,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,6
-1,-1,6
-2,-2,6
-1,-1,6
0,0,6
0,0,6
0,0,6
0,0,6
0,0,7
1,1,7
2,2,7
1,1,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
-1,-1,7
-2,-2,7
-1,-1,7
-1,-1,7
0,0,7
0,0,7
0,0,7
1,1,7
1,1,7
3,3,8
1,1,8
1,1,8
0,0,8
0,0,8
0,0,8
-1,-1,8
-2,-2,8
-3,-3,8
-2,-2,8
-1,-1,8
0,0,8
0,0,8
0,0,8
1,1,8
2,2,8
4,4,8
2,2,9
1,1,9
0,0,9
0,0,9
0,0,9
-1,-1,9
-2,-2,9
-4,-4,9
-2,-2,9
-1,-1,9
0,0,9
0,0,9
0,0,9
